Count,OrgFlow,OriDisOrgID,DesDisOrgID,OriOrgLocationCountry,DesOrgLocationCountry,OriOrgLocationDetails,DesOrgLocationDetails,OriOrgName,DesOrgName,OriOrgType,DesOrgType
11,https://ror.org/009n8zh45 -> https://ror.org/009n8zh45,https://ror.org/009n8zh45,https://ror.org/009n8zh45,TZ,TZ,Dodoma,Dodoma,The University of Dodoma,The University of Dodoma,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/00jdryp44,https://ror.org/009n8zh45,https://ror.org/00jdryp44,TZ,TZ,Dodoma,Morogoro,The University of Dodoma,Sokoine University of Agriculture,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/01x7j0342,https://ror.org/009n8zh45,https://ror.org/01x7j0342,TZ,TZ,Dodoma,Hombolo,The University of Dodoma,Local Government Training Institute,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/020wq5714,https://ror.org/009n8zh45,https://ror.org/020wq5714,TZ,TZ,Dodoma,Arusha,The University of Dodoma,University of Arusha,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/02a86ry03,https://ror.org/009n8zh45,https://ror.org/02a86ry03,TZ,TZ,Dodoma,Morogoro,The University of Dodoma,Muslim University of Morogoro,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/02e2ve941,https://ror.org/009n8zh45,https://ror.org/02e2ve941,TZ,TZ,Dodoma,Arusha,The University of Dodoma,Mount Meru University,education,education
2,https://ror.org/009n8zh45 -> https://ror.org/02jmk1h66,https://ror.org/009n8zh45,https://ror.org/02jmk1h66,TZ,TZ,Dodoma,Dodoma,The University of Dodoma,St. John's University of Tanzania,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/02qrvdj69,https://ror.org/009n8zh45,https://ror.org/02qrvdj69,TZ,TZ,Dodoma,Morogoro,The University of Dodoma,Mzumbe University,education,education
3,https://ror.org/009n8zh45 -> https://ror.org/02r85r585,https://ror.org/009n8zh45,https://ror.org/02r85r585,TZ,TZ,Dodoma,Dodoma,The University of Dodoma,Institute of Rural Development Planning,education,education
18,https://ror.org/009n8zh45 -> https://ror.org/0479aed98,https://ror.org/009n8zh45,https://ror.org/0479aed98,TZ,TZ,Dodoma,Dar es Salaam,The University of Dodoma,University of Dar es Salaam,education,education
1,https://ror.org/009n8zh45 -> https://ror.org/059dvm679,https://ror.org/009n8zh45,https://ror.org/059dvm679,TZ,TZ,Dodoma,Arusha,The University of Dodoma,"East, Central and Southern Africa Health Community",education,other
1,https://ror.org/009nnap37 -> https://ror.org/009nnap37,https://ror.org/009nnap37,https://ror.org/009nnap37,TZ,TZ,Arusha,Arusha,Institute of Accountancy Arusha,Institute of Accountancy Arusha,education,education
1,https://ror.org/009nnap37 -> https://ror.org/0479aed98,https://ror.org/009nnap37,https://ror.org/0479aed98,TZ,TZ,Arusha,Dar es Salaam,Institute of Accountancy Arusha,University of Dar es Salaam,education,education
1,https://ror.org/00jdryp44 -> https://ror.org/00ezwn594,https://ror.org/00jdryp44,https://ror.org/00ezwn594,TZ,TZ,Morogoro,Dar es Salaam,Sokoine University of Agriculture,Ministry of Natural Resources and Tourism,education,government
57,https://ror.org/00jdryp44 -> https://ror.org/00jdryp44,https://ror.org/00jdryp44,https://ror.org/00jdryp44,TZ,TZ,Morogoro,Morogoro,Sokoine University of Agriculture,Sokoine University of Agriculture,education,education
